Company;"Date of initial
 investment";Location;Current stage;Theme;Website
Audigo;Jul-24;USA;Seed;Creative Software;www.audigo.com
Ditto;Apr-24;France;Seed;ESG;www.trustditto.com
Duplo;Feb-24;Nigeria;Seed;Fintech;www.tryduplo.com
ZenML;Apr-23;Germany;Seed;Data and ML Infra;www.zenml.io
Wikifarmer;Nov-22;Greece;Series A;Vertical Software;www.wikifarmer.com
Figures;Aug-22;France;Series A;ESG;www.figures.io
Cryptio;Mar-22;France;Series B;Fintech;www.cryptio.co
Podcastle;Aug-21;Armenia;Series A;Creative Software;www.podcastle.io
Graneet;Jul-21;France;Series A;Vertical Software;www.graneet.com
June;May-21;France/USA;Acquired by Amplitude;Data and ML Infra;www.june.so
Amenitiz;Dec-20;Spain;Series B;Vertical Software;www.amenitiz.com
Rooser;Sep-20;Scotland;RIP;Vertical Software;www.rooser.eu
Soda;Apr-20;Belgium;Series B;Data and ML Infra;www.soda.io
AMMP;Apr-20;The Netherlands;Seed;Vertical Software;www.ammp.io
SuperAnnotate;Jan-20;Armenia/ USA;Series B;Data and ML Infra;www.superannotate.com
Bearer;Jan-19;France/USA;Acquired by Cycode;Data and ML Infra;www.bearer.sh
cargo.one;Nov-18;Germany;Series B;Vertical Software;www.cargo.one
PlayPlay;Jul-18;France;Series B;Creative Software;www.playplay.com
CallDesk;Aug-17;France;Seed;Data and ML Infra;www.calldesk.com
Zentist;Mar-17;USA;Series B;Vertical Software;www.zentist.io
Hull;Dec-16;France/USA;Acquired by MessageBird;Data and ML Infra;www.hull.io
Qwilr;Dec-16;Australia;Series A;Creative Software;www.qwilr.com